frameID, width, description, finish, retail, contractor, wholesale, dealer, cost, img
REP100000, 4.250, 1 1/4 X 4 1/4 Jefferson, Raw Poplar, $3.40, $3.07, $2.73, $2.52, $1.63, http://www.reparteegallery.com/ReparteeMoulding/REP100000.jpg
REP100001, 4.250, 1 1/4 X 4 1/4 Jefferson, Heritage, $4.54, $4.11, $3.65, $3.37, $2.18, http://www.reparteegallery.com/ReparteeMoulding/REP100001.jpg
REP100002, 4.250, 1 1/4 X 4 1/4 Jefferson, Classic Black, $4.54, $4.11, $3.65, $3.37, $2.18, http://www.reparteegallery.com/ReparteeMoulding/REP100002.jpg
REP100111, 4.250, 1 1/4 X 4 1/4 Jefferson, Cappuccino, $4.54, $4.11, $3.65, $3.37, $2.18, http://www.reparteegallery.com/ReparteeMoulding/REP100111.jpg
REP101000, 3.000, 1 X 3 Jefferson, Raw Poplar, $2.17, $1.96, $1.74, $1.61, $1.04, http://www.reparteegallery.com/ReparteeMoulding/REP101000.jpg
REP101111, 3.000, 1 X 3 Jefferson, Cappuccino, $3.31, $3.00, $2.66, $2.46, $1.59, http://www.reparteegallery.com/ReparteeMoulding/REP101111.jpg
REP102000, 4.250, 1 3/4 X 4 1/4 Jefferson, Raw Poplar, $4.44, $4.01, $3.56, $3.30, $2.13, http://www.reparteegallery.com/ReparteeMoulding/REP102000.jpg
REP102111, 4.250, 1 3/4 X 4 1/4 Jefferson, Cappuccino, $5.59, $5.05, $4.49, $4.15, $2.68, http://www.reparteegallery.com/ReparteeMoulding/REP102111.jpg
REP103000, 4.750, 1 1/4 X 4 3/4 Washington, Raw Poplar, $3.73, $3.37, $3.00, $2.77, $1.79, http://www.reparteegallery.com/ReparteeMoulding/REP103000.jpg
REP103002, 4.750, 1 1/4 X 4 3/4 Washington, Classic Black, $4.88, $4.41, $3.92, $3.62, $2.34, http://www.reparteegallery.com/ReparteeMoulding/REP103002.jpg
REP103111, 4.750, 1 1/4 X 4 3/4 Washington, Cappuccino, $4.88, $4.41, $3.92, $3.62, $2.34, http://www.reparteegallery.com/ReparteeMoulding/REP103111.jpg
REP103112, 4.750, 1 1/4 X 4 3/4 Washington, Champagne, $4.88, $4.41, $3.92, $3.62, $2.34, http://www.reparteegallery.com/ReparteeMoulding/REP103112.jpg
REP104000, 3.000, 1 X 3 Washington, Raw Poplar, $2.17, $1.96, $1.74, $1.61, $1.04, http://www.reparteegallery.com/ReparteeMoulding/REP104000.jpg
REP104111, 3.000, 1 X 3 Washington, Cappuccino, $3.31, $3.00, $2.66, $2.46, $1.59, http://www.reparteegallery.com/ReparteeMoulding/REP104111.jpg
REP105000, 2.000, 3/4 X 2 Washington, Raw Poplar, $1.35, $1.22, $1.09, $1.01, $0.65, http://www.reparteegallery.com/ReparteeMoulding/REP105000.jpg
REP105003, 2.000, 3/4 X 2 Washington, Mahogany, $2.50, $2.26, $2.01, $1.86, $1.20, http://www.reparteegallery.com/ReparteeMoulding/REP105003.jpg
REP105111, 2.000, 3/4 X 2 Washington, Cappuccino, $2.50, $2.26, $2.01, $1.86, $1.20, http://www.reparteegallery.com/ReparteeMoulding/REP105111.jpg
REP106000, 2.500, 1 1/4 X 2 1/2 Hall, Raw Poplar, $2.19, $1.98, $1.76, $1.62, $1.05, http://www.reparteegallery.com/ReparteeMoulding/REP106000.jpg
REP106111, 2.500, 1 1/4 X 2 1/2 Hall, Cappuccino, $3.33, $3.01, $2.68, $2.48, $1.60, http://www.reparteegallery.com/ReparteeMoulding/REP106111.jpg
REP107000, 2.187, 1 1/4 X 2 3/16 Franklin, Raw Poplar, $1.96, $1.77, $1.57, $1.45, $0.94, http://www.reparteegallery.com/ReparteeMoulding/REP107000.jpg
REP107002, 2.187, 1 1/4 X 2 3/16 Franklin, Classic Black, $3.11, $2.81, $2.49, $2.31, $1.49, http://www.reparteegallery.com/ReparteeMoulding/REP107002.jpg
REP107111, 2.187, 1 1/4 X 2 3/16 Franklin, Cappuccino, $3.11, $2.81, $2.49, $2.31, $1.49, http://www.reparteegallery.com/ReparteeMoulding/REP107111.jpg
REP108000, 3.500, 1 3/4 X 3 1/2 Franklin, Raw Poplar, $3.73, $3.37, $3.00, $2.77, $1.79, http://www.reparteegallery.com/ReparteeMoulding/REP108000.jpg
REP108002, 3.500, 1 3/4 X 3 1/2 Franklin, Classic Black, $4.88, $4.41, $3.92, $3.62, $2.34, http://www.reparteegallery.com/ReparteeMoulding/REP108002.jpg
REP108003, 3.500, 1 3/4 X 3 1/2 Franklin, Mahogany, $4.88, $4.41, $3.92, $3.62, $2.34, http://www.reparteegallery.com/ReparteeMoulding/REP108003.jpg
REP108111, 3.500, 1 3/4 X 3 1/2 Franklin, Cappuccino, $4.88, $4.41, $3.92, $3.62, $2.34, http://www.reparteegallery.com/ReparteeMoulding/REP108111.jpg
REP108113, 3.500, 1 3/4 X 3 1/2 Franklin, Teak, $4.88, $4.41, $3.92, $3.62, $2.34, http://www.reparteegallery.com/ReparteeMoulding/REP108113.jpg
REP108114, 3.500, 1 3/4 X 3 1/2 Franklin, Pumpkin Spice, $4.88, $4.41, $3.92, $3.62, $2.34, http://www.reparteegallery.com/ReparteeMoulding/REP108114.jpg
REP108125, 3.500, 1 3/4 X 3 1/2 Franklin, Antique White Brown Glaze, $5.46, $4.94, $4.39, $4.05, $2.62, http://www.reparteegallery.com/ReparteeMoulding/REP108125.jpg
REP109000, 4.500, 2 1/4 X 4 1/2 Two-Piece Franklin, Raw Poplar, $5.84, $5.28, $4.69, $4.33, $2.80, http://www.reparteegallery.com/ReparteeMoulding/REP109000.jpg
REP109111, 4.500, 2 1/4 X 4 1/2 Two-Piece Franklin, Cappuccino, $8.13, $7.35, $6.53, $6.04, $3.90, http://www.reparteegallery.com/ReparteeMoulding/REP109111.jpg
REP110000, 3.000, 1 1/4 X 3 Colonial, Raw Poplar, $2.52, $2.28, $2.03, $1.87, $1.21, http://www.reparteegallery.com/ReparteeMoulding/REP110000.jpg
REP110111, 3.000, 1 1/4 X 3 Colonial, Cappuccino, $3.67, $3.32, $2.95, $2.72, $1.76, http://www.reparteegallery.com/ReparteeMoulding/REP110111.jpg
REP111000, 3.500, 1 1/4 X 3 1/2 Colonial, Raw Poplar, $2.88, $2.60, $2.31, $2.14, $1.38, http://www.reparteegallery.com/ReparteeMoulding/REP111000.jpg
REP112000, 2.500, 1 X 2 1/2 Timeless, Raw Poplar, $1.88, $1.70, $1.51, $1.39, $0.90, http://www.reparteegallery.com/ReparteeMoulding/REP112000.jpg
REP112111, 2.500, 1 X 2 1/2 Timeless, Cappuccino, $3.02, $2.73, $2.43, $2.24, $1.45, http://www.reparteegallery.com/ReparteeMoulding/REP112111.jpg
REP113000, 3.500, 1 1/4 X 3 1/2 Timeless, Raw Poplar, $2.88, $2.60, $2.31, $2.14, $1.38, http://www.reparteegallery.com/ReparteeMoulding/REP113000.jpg
REP113111, 3.500, 1 1/4 X 3 1/2 Timeless, Cappuccino, $4.02, $3.64, $3.23, $2.99, $1.93, http://www.reparteegallery.com/ReparteeMoulding/REP113111.jpg
REP114000, 1.500, 1 5/16 X 1 1/2 Redford Cap, Raw Poplar, $1.50, $1.36, $1.21, $1.11, $0.72, http://www.reparteegallery.com/ReparteeMoulding/REP114000.jpg
REP114111, 1.500, 1 5/16 X 1 1/2 Redford Cap, Cappuccino, $2.65, $2.39, $2.13, $1.97, $1.27, http://www.reparteegallery.com/ReparteeMoulding/REP114111.jpg
REP115000, 3.500, 1 X 3 1/2 Redford, Raw Poplar, $2.44, $2.20, $1.96, $1.81, $1.17, http://www.reparteegallery.com/ReparteeMoulding/REP115000.jpg
REP115111, 3.500, 1 X 3 1/2 Redford, Cappuccino, $3.58, $3.24, $2.88, $2.66, $1.72, http://www.reparteegallery.com/ReparteeMoulding/REP115111.jpg
REP116000, 4.500, 1 5/16 X 4 1/2 Two-Piece Redford, Raw Poplar, $3.44, $3.11, $2.76, $2.55, $1.65, http://www.reparteegallery.com/ReparteeMoulding/REP116000.jpg
REP116111, 4.500, 1 5/16 X 4 1/2 Two-Piece Redford, Cappuccino, $5.73, $5.18, $4.60, $4.26, $2.75, http://www.reparteegallery.com/ReparteeMoulding/REP116111.jpg
REP117000, 1.812, 1 3/4 X 1 3/4 Adams Cap, Raw Poplar, $2.15, $1.94, $1.72, $1.59, $1.03, http://www.reparteegallery.com/ReparteeMoulding/REP117000.jpg
REP117111, 1.812, 1 3/4 X 1 3/4 Adams Cap, Cappuccino, $3.29, $2.98, $2.64, $2.45, $1.58, http://www.reparteegallery.com/ReparteeMoulding/REP117111.jpg
